"Date","Price","Open","High","Low","Vol.","Change %"
"16-10-2023","52,401.95","52,468.95","52,588.30","52,305.60","14.51M","-0.23%"
"13-10-2023","52,520.70","52,240.10","52,655.75","52,130.05","22.02M","0.30%"
"12-10-2023","52,363.95","52,377.25","52,491.40","52,041.15","21.13M","0.21%"
"11-10-2023","52,254.45","52,016.05","52,342.45","51,913.20","18.97M","0.87%"
"10-10-2023","51,803.95","51,587.00","51,845.05","51,567.90","13.12M","0.58%"
"09-10-2023","51,502.85","51,333.70","51,635.15","51,188.35","14.77M","-0.15%"
"06-10-2023","51,577.90","51,488.95","51,725.40","51,359.15","17.05M","0.38%"
"05-10-2023","51,384.55","51,625.60","51,654.55","51,270.00","22.99M","-0.10%"
"04-10-2023","51,435.75","51,372.15","51,528.25","51,128.50","25.32M","0.22%"
"03-10-2023","51,320.85","51,603.65","51,708.00","51,255.70","23.60M","-0.55%"
"29-09-2023","51,602.65","51,504.55","51,742.70","51,273.75","19.73M","0.53%"
"28-09-2023","51,329.10","52,381.80","52,393.15","51,246.45","24.45M","-1.91%"
"27-09-2023","52,329.50","51,951.35","52,377.85","51,653.80","20.83M","0.80%"
"26-09-2023","51,912.85","51,724.50","51,982.45","51,644.05","18.99M","0.52%"
"25-09-2023","51,642.45","51,646.30","51,762.45","51,346.05","15.74M","0.07%"
"22-09-2023","51,608.50","51,629.95","51,716.70","51,344.65","16.86M","-0.12%"
"21-09-2023","51,672.65","51,893.05","51,921.85","51,332.15","20.71M","-0.48%"
"20-09-2023","51,924.15","51,932.90","52,066.80","51,813.80","20.69M","-0.53%"
"18-09-2023","52,198.60","51,983.50","52,243.15","51,804.10","17.96M","0.58%"
"15-09-2023","51,895.15","52,041.05","52,178.25","51,817.65","30.40M","-0.48%"
"14-09-2023","52,143.20","52,397.50","52,401.65","51,926.20","26.23M","-0.15%"
"13-09-2023","52,223.65","52,049.60","52,346.65","52,000.15","22.64M","0.30%"
"12-09-2023","52,065.90","52,449.00","52,454.75","51,768.90","28.95M","-0.33%"
"11-09-2023","52,239.05","51,948.70","52,291.25","51,838.00","19.71M","0.89%"
"08-09-2023","51,778.30","51,976.80","51,981.50","51,709.45","17.89M","-0.14%"
"07-09-2023","51,853.10","52,040.30","52,110.60","51,807.80","21.80M","-0.41%"
"06-09-2023","52,064.85","51,629.90","52,136.25","51,498.05","26.16M","1.00%"
"05-09-2023","51,548.45","51,309.50","51,634.95","51,171.75","17.08M","0.74%"
"04-09-2023","51,171.75","51,415.10","51,419.20","50,932.55","23.20M","-0.13%"
"01-09-2023","51,240.50","51,156.85","51,326.55","51,079.90","21.67M","0.29%"
"31-08-2023","51,092.65","51,579.95","51,641.10","50,913.00","40.06M","-0.82%"
"30-08-2023","51,513.55","51,333.70","51,560.45","51,257.85","15.52M","0.57%"
"29-08-2023","51,223.05","51,511.70","51,526.10","51,182.05","19.41M","-0.33%"
"28-08-2023","51,390.80","51,594.15","51,650.65","51,283.40","13.23M","-0.23%"
"25-08-2023","51,506.80","51,930.00","51,938.90","51,415.20","18.63M","-1.02%"
"24-08-2023","52,036.75","52,028.50","52,150.05","51,929.40","15.58M","0.29%"
"23-08-2023","51,888.30","52,310.60","52,315.30","51,839.50","18.86M","-0.49%"
"22-08-2023","52,141.65","51,912.10","52,234.50","51,769.35","19.63M","0.66%"
"21-08-2023","51,799.00","51,516.85","51,853.55","51,409.40","17.49M","0.65%"
"18-08-2023","51,464.75","51,288.55","51,586.35","51,167.75","31.90M","0.22%"
"17-08-2023","51,353.75","51,821.25","51,829.60","51,248.55","30.09M","-0.89%"
"16-08-2023","51,815.40","51,676.70","51,869.75","51,459.40","24.17M","0.41%"
"14-08-2023","51,604.40","51,350.55","51,714.80","50,984.60","17.20M","0.49%"
"11-08-2023","51,351.70","51,803.05","51,825.60","51,265.50","24.02M","-0.73%"
"10-08-2023","51,728.65","52,209.15","52,242.50","51,609.15","24.40M","-0.91%"
"09-08-2023","52,206.20","51,950.15","52,249.30","51,620.65","24.88M","0.54%"
"08-08-2023","51,924.40","52,163.15","52,257.65","51,752.70","22.81M","-0.28%"
"07-08-2023","52,072.50","51,973.05","52,107.20","51,789.50","22.05M","0.04%"
"04-08-2023","52,050.65","52,201.00","52,520.00","52,014.65","25.29M","-0.02%"
"03-08-2023","52,062.35","52,283.55","52,409.80","51,943.05","30.73M","-0.58%"
